id,isolate,region,year,NEIS0408(pilQ),NEIS0414,NEIS1753(PenA),NEIS2020(porB),NEIS2357
123342,1030,,2022,,,,,
123343,3159,,2022,,,,,
123344,3123,,2022,,,,,
123345,1075,,2022,,,,,
123346,8050,,2022,,,,,
123347,3031,,2022,,,,,
126241,7135,,2022,,,,,
126242,8099,,2022,,,,,
126243,3096,,2022,,,,,
126244,8076,,2022,,,,,
126245,8060,,2022,,,,,
126246,3140,,2022,,,,,
126247,3166,,2022,,,,,
126248,3085,,2022,,,,,
126249,1071,,2022,,,,,
126250,3118,,2022,,,,,
126251,8023,,2022,,,,,
126252,8039,,2022,,,,,
126253,1040,,2022,,,,,
126254,3062,,2022,,,,,
126255,8030,,2022,,,,,
126256,3095,,2022,,,,,
126257,1037,,2022,,,,,
126258,7152,,2022,,,,,
126259,5068,,2022,,,,,
126260,8102,,2022,,,,,
126261,7072,,2022,,,,,
126262,5059,,2022,,,,,
126263,5029,,2022,,,,,
126264,1065,,2022,,,,,
126265,8098,,2022,,,,,
126266,1060,,2022,,,,,
126267,1053,,2022,,,,,
126268,8011,,2022,,,,,
126269,3075,,2022,,,,,
126270,7154,,2022,,,,,
126271,3158,,2022,,,,,
126272,3121,,2022,,,,,
126273,3163,,2022,,,,,
126274,8078,,2022,,,,,
126275,5060,,2022,,,,,
126929,3115,,2022,,,,,
126930,5043,,2022,,,,,
126931,5018,,2022,,,,,
126932,7079,,2022,,,,,
126933,3044,,2022,,,,,
126934,7039,,2022,,,,,
126935,5037,,2022,,,,,
126936,3076,,2022,,,,,
126937,7070,,2022,,,,,
126938,1074,,2022,,,,,
126939,7129,,2022,,,,,
126940,1087,,2022,,,,,
126941,3108,,2022,,,,,
126942,1109,,2022,,,,,
126943,5034,,2022,,,,,
126944,7052,,2022,,,,,
126945,1105,,2022,,,,,
126946,5006,,2022,,,,,
126947,7113,,2022,,,,,
126948,8089,,2022,,,,,
126949,5025,,2022,,,,,
131095,GP-12-MUS-048,Gauteng Province,2012,,13,3248,912,0
131096,GP-12-MUS-049,Gauteng Province,2012,,8,23,2727,2
131097,GP-12-MUS-052,Gauteng Province,2012,621,13,23,,2
131098,GP-12-MUS-069,Gauteng Province,2012,619,8,294,,0
131099,GP-12-MUS-071,Gauteng Province,2012,251,13,228,,3
131100,GP-12-MUS-086,Gauteng Province,2012,2759,8,294,763,3
131101,GP-12-MUS-088,Gauteng Province,2012,251,13,228,,3
131102,GP-12-MUS-092,Gauteng Province,2012,,8,23,,0
