id,isolate,country,year,azithromycin_mic,23S_rRNA,NEIS0133,NEIS1633,NEIS1634,NEIS1635,pro_NEIS1635,private_record,private_owner
27202,S253,UK [England],1996,,457,102,167,100,12,6,false,
27203,S514,UK [England],1997,,457,102,167,100,12,6,false,
27204,S415,UK [England],1997,,457,102,167,100,12,6,false,
27205,S154,UK [England],1996,,457,102,167,100,12,6,false,
27206,S317,UK [England],1997,,457,102,167,100,12,6,false,
27207,S407,UK [England],1997,,457,102,167,100,12,6,false,
27208,S414,UK [England],1997,,457,102,167,100,12,6,false,
27209,S438,UK [England],1997,,457,102,167,100,12,6,false,
27210,S423,UK [England],1997,,457,102,167,100,12,6,false,
27211,S425,UK [England],1997,,457,102,167,100,12,6,false,
27212,S417,UK [England],1997,,457,102,167,100,12,6,false,
27213,S424,UK [England],1997,,457,102,167,100,12,6,false,
27214,S399,UK [England],1997,,457,102,167,100,12,6,false,
27215,S378,UK [England],1997,,457,102,167,100,12,6,false,
27216,S401,UK [England],1997,,457,102,167,100,12,6,false,
